id;rooms;usedrooms;beds;usedbeds;year;month
566;44;13;220;220;2014;1
615;30;28;21;21;2014;1
98;58;58;74;13;2014;1
14;2;1;19;19;2014;1
308;23;6;127;18;2014;1
110;46;3;40;12;2014;1
676;10;6;18;18;2014;1
298;42;3;110;4;2014;1
186;49;17;196;184;2014;1
373;18;6;6;2;2014;1
376;70;43;419;373;2014;1
159;13;0;103;83;2014;1
503;8;6;19;5;2014;1
597;9;1;28;5;2014;1
184;60;32;283;238;2014;1
403;82;41;335;69;2014;1
440;73;23;234;156;2014;1
422;20;19;27;23;2014;1
334;8;2;51;11;2014;1
662;25;2;104;92;2014;1
97;33;22;162;79;2014;1
666;3;0;5;4;2014;1
429;74;69;124;34;2014;1
0;42;12;76;20;2014;1
660;32;27;94;23;2014;1
480;13;0;17;14;2014;1
347;4;2;18;1;2014;1
88;35;25;183;142;2014;1
664;8;1;7;0;2014;1
245;9;5;108;68;2014;1
547;32;9;88;46;2014;1
139;58;45;107;67;2014;1
488;7;1;33;14;2014;1
112;54;12;122;88;2014;1
365;40;40;170;16;2014;1
269;12;3;54;13;2014;1
271;12;12;49;6;2014;1
629;14;9;77;10;2014;1
185;50;50;10;0;2014;1
356;13;6;18;18;2014;1
198;25;25;52;37;2014;1
60;97;94;184;110;2014;1
475;7;5;10;7;2014;1
360;26;20;2;0;2014;1
270;20;9;54;4;2014;1
426;25;25;31;3;2014;1
166;66;54;41;6;2014;1
57;24;20;72;72;2014;1
28;14;9;65;65;2014;1
246;51;29;287;287;2014;1
117;18;9;28;23;2014;1
114;43;15;91;49;2014;1
158;36;4;15;15;2014;1
175;2;0;3;3;2014;1
153;10;8;68;52;2014;1
281;23;14;116;83;2014;1
191;6;4;12;1;2014;1
696;80;66;43;0;2014;1
511;49;17;46;39;2014;1
398;35;1;57;12;2014;1
642;41;36;326;163;2014;1
588;61;10;157;36;2014;1
27;49;12;46;27;2014;1
352;8;1;20;3;2014;1
145;12;1;15;12;2014;1
694;11;11;37;9;2014;1
472;25;18;65;40;2014;1
250;29;29;144;144;2014;1
364;48;40;215;103;2014;1
254;29;14;94;28;2014;1
461;4;1;11;1;2014;1
474;47;9;261;171;2014;1
103;78;8;68;7;2014;1
126;5;3;24;22;2014;1
689;11;4;70;18;2014;1
685;30;23;152;143;2014;1
519;2;1;5;3;2014;1
452;39;6;95;95;2014;1
310;25;25;97;50;2014;1
244;75;29;1;0;2014;1
673;33;14;106;34;2014;1
477;107;11;175;9;2014;1
304;15;1;72;22;2014;1
623;60;18;298;194;2014;1
432;25;14;52;0;2014;1
446;17;11;62;62;2014;1
81;69;35;5;3;2014;1
595;8;2;1;1;2014;1
318;59;11;266;11;2014;1
445;21;14;11;8;2014;1
288;33;33;149;73;2014;1
292;14;13;57;57;2014;1
208;11;0;55;45;2014;1
538;6;0;34;32;2014;1
336;7;0;18;14;2014;1
420;27;1;160;77;2014;1
485;4;0;4;3;2014;1
469;26;22;107;6;2014;1
603;23;23;184;184;2014;1
264;32;32;25;4;2014;1
29;44;3;266;105;2014;1
471;47;3;252;4;2014;1
363;42;15;37;13;2014;1
122;64;64;236;236;2014;1
654;16;6;63;63;2014;1
210;19;14;32;32;2014;1
540;22;5;8;8;2014;1
682;41;1;149;149;2014;1
508;10;10;41;1;2014;1
232;46;12;200;133;2014;1
4;44;17;81;69;2014;1
447;20;7;141;140;2014;1
479;18;18;141;112;2014;1
557;41;30;72;55;2014;1
227;31;31;193;22;2014;1
643;33;16;31;10;2014;1
181;55;38;154;59;2014;1
38;33;5;122;50;2014;1
26;5;2;7;2;2014;1
667;7;7;26;0;2014;1
200;18;2;24;19;2014;1
481;52;6;157;108;2014;1
434;52;6;201;40;2014;1
295;30;2;99;99;2014;1
233;21;10;108;32;2014;1
436;3;1;3;2;2014;1
640;11;4;1;1;2014;1
294;25;25;104;74;2014;1
515;12;12;43;29;2014;1
686;1;0;4;0;2014;1
536;11;9;36;16;2014;1
120;21;15;72;72;2014;1
397;75;24;310;267;2014;1
451;74;10;329;26;2014;1
510;25;5;74;55;2014;1
92;7;6;2;1;2014;1
218;35;11;82;65;2014;1
361;71;71;326;170;2014;1
460;5;0;19;11;2014;1
627;2;2;3;0;2014;1
578;43;18;70;70;2014;1
507;58;44;21;0;2014;1
417;55;3;202;85;2014;1
370;13;7;9;5;2014;1
565;5;4;26;16;2014;1
127;13;8;15;8;2014;1
681;28;28;19;11;2014;1
506;43;29;127;0;2014;1
424;27;17;77;25;2014;1
542;22;5;84;73;2014;1
224;21;21;122;65;2014;1
86;8;0;52;29;2014;1
315;52;23;356;66;2014;1
300;42;42;136;100;2014;1
333;5;2;32;4;2014;1
359;5;5;1;0;2014;1
9;20;15;50;43;2014;1
548;71;31;463;463;2014;1
274;52;27;59;50;2014;1
190;11;6;26;4;2014;1
225;2;1;6;0;2014;1
113;63;58;321;300;2014;1
659;21;1;84;5;2014;1
15;1;0;4;1;2014;1
235;55;3;147;106;2014;1
95;42;41;173;118;2014;1
267;24;0;9;1;2014;1
605;9;3;37;27;2014;1
399;17;12;7;5;2014;1
160;10;10;16;3;2014;1
518;18;3;104;104;2014;1
514;65;18;147;81;2014;1
73;71;46;239;75;2014;1
425;11;0;2;2;2014;1
101;43;7;123;123;2014;1
580;66;35;180;161;2014;1
297;59;19;73;8;2014;1
31;10;7;8;5;2014;1
247;24;19;56;23;2014;1
151;41;33;110;68;2014;1
129;30;0;105;54;2014;1
125;17;11;73;1;2014;1
33;47;13;53;4;2014;1
266;22;3;60;6;2014;1
118;6;4;26;2;2014;1
280;28;28;126;117;2014;1
395;49;3;289;32;2014;1
180;35;9;113;61;2014;1
55;79;79;100;21;2014;1
134;55;1;6;3;2014;1
463;59;59;141;85;2014;1
299;33;2;127;127;2014;1
668;53;34;238;26;2014;1
62;3;3;2;1;2014;1
435;21;10;157;74;2014;1
498;29;24;98;73;2014;1
652;48;16;37;36;2014;1
128;54;47;304;247;2014;1
326;5;1;50;37;2014;1
349;54;54;176;85;2014;1
331;19;6;37;7;2014;1
454;14;7;21;21;2014;1
647;6;1;12;4;2014;1
25;28;3;79;14;2014;1
609;27;19;16;3;2014;1
238;39;33;96;17;2014;1
402;39;28;56;20;2014;1
179;7;4;63;37;2014;1
509;29;26;226;226;2014;1
171;12;12;48;48;2014;1
502;26;26;21;21;2014;1
170;28;7;99;91;2014;1
340;8;8;41;27;2014;1
301;8;5;42;22;2014;1
393;19;3;51;34;2014;1
483;13;7;24;18;2014;1
492;5;0;18;8;2014;1
286;36;29;88;88;2014;1
47;85;68;250;250;2014;1
12;41;0;345;281;2014;1
400;38;11;53;53;2014;1
523;6;1;27;3;2014;1
291;8;1;46;8;2014;1
688;37;21;41;34;2014;1
571;8;2;30;25;2014;1
278;24;23;28;9;2014;1
620;22;9;34;16;2014;1
108;2;0;5;5;2014;1
478;18;14;40;40;2014;1
142;8;4;44;44;2014;1
371;35;3;148;16;2014;1
211;24;10;14;9;2014;1
646;14;9;33;22;2014;1
343;35;0;15;3;2014;1
529;14;13;35;7;2014;1
161;37;9;115;6;2014;1
619;31;31;10;2;2014;1
531;60;38;43;7;2014;1
2;4;2;15;6;2014;1
476;20;20;29;8;2014;1
522;6;3;42;17;2014;1
528;17;3;64;56;2014;1
105;34;27;66;14;2014;1
495;31;5;7;5;2014;1
441;64;33;175;52;2014;1
132;20;11;9;4;2014;1
457;7;1;13;7;2014;1
37;25;7;39;39;2014;1
154;5;3;11;7;2014;1
56;4;2;13;12;2014;1
396;61;6;47;15;2014;1
482;6;3;32;11;2014;1
350;12;5;33;19;2014;1
385;45;18;95;46;2014;1
428;43;43;199;79;2014;1
284;49;49;46;37;2014;1
202;39;27;49;42;2014;1
567;21;16;51;5;2014;1
76;1;0;1;1;2014;1
150;21;13;67;7;2014;1
405;37;32;69;51;2014;1
650;46;41;50;35;2014;1
289;18;18;49;49;2014;1
590;44;29;195;121;2014;1
49;49;29;228;183;2014;1
54;20;19;11;6;2014;1
162;50;25;165;94;2014;1
416;29;11;282;192;2014;1
221;15;6;97;83;2014;1
412;26;21;62;62;2014;1
634;48;30;302;110;2014;1
296;16;16;6;5;2014;1
182;1;0;5;0;2014;1
65;18;2;15;2;2014;1
679;78;78;378;349;2014;1
649;25;25;138;4;2014;1
277;31;2;7;6;2014;1
517;35;20;46;32;2014;1
353;54;22;131;131;2014;1
661;62;3;40;26;2014;1
152;57;28;85;59;2014;1
564;3;0;8;6;2014;1
212;17;3;14;4;2014;1
293;9;7;11;0;2014;1
282;6;2;26;8;2014;1
613;14;3;57;3;2014;1
375;60;60;459;459;2014;1
177;40;17;94;94;2014;1
639;38;1;72;72;2014;1
332;34;11;7;0;2014;1
653;18;18;15;13;2014;1
543;6;6;17;4;2014;1
309;31;17;22;22;2014;1
337;4;0;8;7;2014;1
380;29;14;60;33;2014;1
239;25;24;8;8;2014;1
655;7;2;15;15;2014;1
130;23;0;12;1;2014;1
193;46;13;11;8;2014;1
197;27;27;1;0;2014;1
287;30;13;7;1;2014;1
136;18;5;128;123;2014;1
40;33;10;33;5;2014;1
587;8;0;64;13;2014;1
439;21;19;138;138;2014;1
107;7;2;20;1;2014;1
604;23;15;120;60;2014;1
319;19;8;9;3;2014;1
61;35;12;36;2;2014;1
116;58;58;479;195;2014;1
196;84;13;19;6;2014;1
449;3;0;17;3;2014;1
164;10;7;45;3;2014;1
437;8;8;17;10;2014;1
36;25;14;38;11;2014;1
323;39;2;131;84;2014;1
410;23;3;115;18;2014;1
268;20;15;5;1;2014;1
276;26;26;76;8;2014;1
262;47;41;358;155;2014;1
487;12;2;21;21;2014;1
115;2;2;4;1;2014;1
593;28;15;19;10;2014;1
261;35;35;21;7;2014;1
143;53;53;377;377;2014;1
459;53;53;94;94;2014;1
265;24;24;89;21;2014;1
335;44;10;126;72;2014;1
448;32;32;64;23;2014;1
52;38;4;85;85;2014;1
636;25;7;50;0;2014;1
554;5;3;25;25;2014;1
341;56;56;247;175;2014;1
401;14;5;78;78;2014;1
589;75;27;303;61;2014;1
491;42;29;44;44;2014;1
275;62;23;279;213;2014;1
16;24;24;21;10;2014;1
644;11;1;47;27;2014;1
48;39;8;21;7;2014;1
77;40;16;212;107;2014;1
206;75;75;416;178;2014;1
69;28;21;54;26;2014;1
608;38;27;32;1;2014;1
75;22;13;60;31;2014;1
322;21;0;80;56;2014;1
137;44;3;141;34;2014;1
674;2;0;3;2;2014;1
533;32;7;26;18;2014;1
203;52;16;160;125;2014;1
174;14;12;10;0;2014;1
444;71;65;4;1;2014;1
63;53;4;31;31;2014;1
312;7;5;9;6;2014;1
530;64;64;103;3;2014;1
201;47;41;154;154;2014;1
109;18;18;58;35;2014;1
610;29;14;39;24;2014;1
616;61;61;244;120;2014;1
625;56;45;206;83;2014;1
192;11;0;31;27;2014;1
216;9;4;23;13;2014;1
183;51;36;31;31;2014;1
582;45;7;83;63;2014;1
497;35;18;75;18;2014;1
563;28;6;2;0;2014;1
339;8;0;12;12;2014;1
100;41;41;92;92;2014;1
585;38;38;144;69;2014;1
78;20;10;31;5;2014;1
496;8;0;43;43;2014;1
307;36;36;69;4;2014;1
